Sr No.,sample_id,from_m,to_m,width_m,lithology,li_mica_pct,li_ppm,li2o_pct,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,total_ree_ppm,borehole_id
8,KRKC-12/17,24.5,25.0,0.5,Leucogranite,7 to 8,260.0,559.78,52.59,8.33,331.56,3.25,14.64,6.34,3.62,<0.5,12.6,22.93,2.89,10.24,0.63,2.78,2.78,0.59,3.5,0.57,1.21,0.2,1.25,0.16,62.33000000000001,KRKC-12
9,KRKC-12/19,26.0,26.5,0.5,Leucogranite,7 to 8,245.0,527.485,48.82,47.33,403.16,7.82,20.47,5.64,2.34,<0.5,11.47,21.51,2.62,9.61,0.63,3,3.04,0.66,3.67,0.61,1.41,0.22,1.27,0.17,59.89,KRKC-12
10,KRKC-12/21,33.0,33.5,0.5,Leucogranite,7 to 8,240.0,516.72,65.22,10.18,395.39,4.97,17.09,8.04,3.23,<0.5,11.9,22.46,2.57,9.94,0.57,3.58,2.53,0.56,3.21,0.5,1.18,0.19,1.16,0.15,60.49999999999999,KRKC-12
1,KRKC-13/1,0.0,5.05,5.05,Silty soil,Not visible,80.0,172.24,22.17,7.79,189.62,3.28,21.64,3.86,49.2,0.55,40.7,84.88,8.77,34.53,1.26,6.6,5.99,0.99,5.46,1.04,2.98,0.46,3.17,0.48,197.30999999999997,KRKC-13
2,KRKC-13/3,8.0,8.5,0.5,Leucogranite,~5,375.0,807.375,25.24,9.52,353.32,3.77,14.44,4.46,43.23,0.58,9.43,18.18,2.05,7.43,0.51,2.2,2.15,0.49,2.91,0.46,1.07,0.16,1.07,0.16,48.27,KRKC-13
3,KRKC-13/5,10.0,10.5,0.5,Leucogranite,~5,300.0,645.9,82.95,14.54,418.06,4.12,16.06,7.82,3.04,1.46,8.41,17.44,2,7.6,0.5,2.14,2.08,0.45,2.56,0.43,0.84,0.17,0.96,0.12,45.70000000000001,KRKC-13
4,KRKC-13/7,11.0,11.5,0.5,Leucogranite,~5,365.0,785.845,85.93,15.1,404.17,3.8,15.88,5.88,2.94,1.5,10.43,19.46,2.36,8.15,0.53,2.55,2.31,0.51,3,0.45,1.08,0.17,1.18,0.14,52.32,KRKC-13
5,KRKC-13/9,15.15,15.65,0.5,Leucogranite,5 to 7,350.0,753.55,86.96,13.84,435.74,3.98,16.42,7.39,2.42,<0.5,10.29,19.38,2.36,8.15,0.51,2.37,2.28,0.51,2.84,0.47,0.97,0.16,0.99,0.13,51.41,KRKC-13
6,KRKC-13/11,19.0,19.5,0.5,Leucogranite,5 to 7,240.0,516.72,81.83,16.78,365.14,3.54,14.11,5.53,2.37,<0.5,8.56,15.78,1.84,7.01,0.44,2.11,2.13,0.46,2.74,0.4,0.89,0.17,1.03,0.13,43.690000000000005,KRKC-13
7,KRKC-13/13,21.5,22.0,0.5,Leucogranite,3 to 4,250.0,538.25,92.52,15.67,336.51,3.14,14.98,11.44,5.42,<0.5,10.03,19.09,2.29,8.05,0.52,2.41,2.42,0.53,2.96,0.49,1.1,0.17,1.15,0.14,51.35000000000001,KRKC-13
8,KRKC-13/15,27.0,27.5,0.5,Leucogranite,~5,275.0,592.075,87.63,7.84,313.45,1.64,10.49,9.47,4.65,<0.5,8.56,16.83,2.01,7.23,0.42,1.97,1.73,0.37,1.99,0.3,0.6,0.11,0.76,0.11,42.98999999999999,KRKC-13
9,KRKC-13/17,37.5,38.0,0.5,Leucogranite,3 to 4,255.0,549.015,20.97,25.94,390.3,3.68,15.45,4.6,6.23,0.52,10.15,18.01,2.15,7.96,0.5,2.42,2.34,0.49,3.12,0.51,1.07,0.19,1.15,0.15,50.209999999999994,KRKC-13
10,KRKC-13/18,39.5,40.0,0.5,Leucogranite,3 to 4,290.0,624.37,19.42,16.64,359.67,3.02,14.25,3.45,4.12,0.51,10.34,20.59,2.29,8.75,0.53,2.35,2.37,0.53,2.96,0.54,1.14,0.19,1.05,0.14,53.769999999999996,KRKC-13
1,KRKC-14/1,0.0,5.25,5.25,Silty soil,,57.0,122.721,74.53,4.96,163.05,2.07,22.3,7.34,3.2,<0.5,47.36,95.8,10.62,38.18,1.46,7.33,6.34,1.05,5.74,1.14,3.25,0.48,3.11,0.49,222.35000000000005,KRKC-14
2,KRKC-14/3,7.0,7.5,0.5,Leucogranite,<5,220.0,473.66,77.32,10.24,353.52,3.06,15.95,8.39,4.57,<0.5,10.86,21.69,2.63,9.59,0.63,2.67,2.84,0.67,3.44,0.6,1.31,0.23,1.29,0.18,58.629999999999995,KRKC-14
3,KRKC-14/5,12.0,12.5,0.5,Leucogranite,5 to 7,265.0,570.545,62.99,62.28,401.66,3.33,16.46,5.02,2.45,<0.5,10.01,21.16,2.4,9.32,0.62,2.73,2.78,0.6,3.25,0.58,1.18,0.21,1.23,0.17,56.239999999999995,KRKC-14
4,KRKC-14/7,14.0,14.5,0.5,Leucogranite,<5,240.0,516.72,61.24,12.22,400.13,4.03,17.52,4.96,1.69,<0.5,11.37,22.59,2.73,9.34,0.62,2.89,2.95,0.65,3.53,0.59,1.39,0.2,1.18,0.17,60.20000000000001,KRKC-14
5,KRKC-14/9,17.5,18.0,0.5,Leucogranite,<5,250.0,538.25,74.53,55.08,381.78,3.9,17.77,13.83,3.63,<0.5,11.04,21.87,2.62,9.12,0.56,2.83,2.75,0.67,3.91,0.69,1.58,0.26,1.53,0.21,59.639999999999986,KRKC-14
6,KRKC-14/11,21.0,21.5,0.5,Leucogranite,5 to 10,325.0,699.725,68.97,13.15,398.47,6.52,20.91,11.76,2.56,<0.5,9.43,18.54,2.28,8.06,0.59,2.4,2.37,0.55,3.25,0.56,1.18,0.21,1.2,0.15,50.77,KRKC-14
7,KRKC-14/14,26.5,27.0,0.5,Leucogranite,5 to 10,260.0,559.78,65.38,10.47,382.28,3.28,18.01,5.39,2.44,<0.5,11.48,24.29,2.89,10.11,0.63,2.84,2.89,0.56,3.35,0.51,1.23,0.2,1.12,0.15,62.24999999999999,KRKC-14
8,KRKC-14/16,30.0,30.5,0.5,Leucogranite,<5,240.0,516.72,66.97,9.75,332.09,2.87,15.15,6.64,4.45,<0.5,12.15,21.76,2.74,9.47,0.63,2.76,2.77,0.58,3.22,0.54,1.19,0.19,1.26,0.16,59.419999999999995,KRKC-14
9,KRKC-14/18,33.5,34.0,0.5,Leucogranite,<5,245.0,527.485,17.96,20.03,379.86,4.3,18.27,4.97,4.5,0.57,11.58,23.8,2.74,10.26,0.7,2.83,2.94,0.63,3.6,0.61,1.44,0.21,1.38,0.17,62.89000000000001,KRKC-14
10,KRKC-14/20,38.5,39.0,0.5,Leucogranite,<5,265.0,570.545,15.68,21.9,323.28,3.23,15.43,5.81,4.41,0.61,8.69,16.99,2.05,7.16,0.54,2.22,2.02,0.48,2.79,0.47,1.1,0.16,1.1,0.14,45.91,KRKC-14
1,KRKC-15/1,0.0,4.05,4.05,Silty soil,Not visible,46.0,99.038,41.26,6.38,175.34,3.19,22.5,7.05,2.69,<0.5,42.9,88.15,9.83,35.18,1.32,6.67,6.2,1,6.01,1.24,3.74,0.61,3.85,0.63,207.33,KRKC-15
2,KRKC-15/2,4.5,5.0,0.5,Leucogranite,10,225.0,484.425,38.45,10.78,398.07,3.63,19.38,5.52,1.9,<0.5,10.56,21.47,2.42,8.84,0.51,2.44,2.63,0.55,3.13,0.52,1.11,0.19,1.17,0.16,55.7,KRKC-15
3,KRKC-15/3,5.0,5.5,0.5,Leucogranite,10,170.0,366.01,43.15,9.44,373.74,3.22,15.83,9.35,2.25,<0.5,9.82,19.09,2.19,8.15,0.51,2.33,2.35,0.53,2.84,0.47,1.07,0.16,1.11,0.15,50.769999999999996,KRKC-15
4,KRKC-15/4,5.5,6.0,0.5,Leucogranite,10,230.0,495.19,41.38,31.45,371.56,3.31,16.71,7.19,3.37,<0.5,8.89,16.64,1.96,7.23,0.49,2.18,2.16,0.49,2.62,0.43,0.98,0.16,1.02,0.13,45.379999999999995,KRKC-15
